fact,year,date,source
1913: An Atlantic coast storm sets the lowest confirmed barometric pressure reading (955.0 mb (28.20 inHg)) for a non-tropical system in the continental United States.,1913,1/3,wikipedia/muffinlabs
"1933: Minnie D. Craig becomes the first woman elected as Speaker of the North Dakota House of Representatives, the first woman to hold a Speaker position anywhere in the United States.",1933,1/3,wikipedia/muffinlabs
1946: Popular Canadian American jockey George Woolf suffers a concussion during a freak racing accident; he dies from the injury the following day. The annual George Woolf Memorial Jockey Award is created to honor him.,1946,1/3,wikipedia/muffinlabs
1947: Proceedings of the U.S. Congress are televised for the first time.,1947,1/3,wikipedia/muffinlabs
"1953: Frances P. Bolton and her son, Oliver from Ohio, become the first mother and son to serve simultaneously in the U.S. Congress.",1953,1/3,wikipedia/muffinlabs
1959: Alaska is admitted as the 49th U.S. state.,1959,1/3,wikipedia/muffinlabs
"1961: Cold War: After a series of economic retaliations against one another, the United States severs diplomatic relations with Cuba.",1961,1/3,wikipedia/muffinlabs
"1961: The SL-1 nuclear reactor, near Idaho Falls, Idaho, is destroyed by a steam explosion in the only reactor incident in the United States to cause immediate fatalities.",1961,1/3,wikipedia/muffinlabs
"1961: A protest by agricultural workers in Baixa de Cassanje, Portuguese Angola, turns into a revolt, opening the Angolan War of Independence, the first of the Portuguese Colonial Wars.",1961,1/3,wikipedia/muffinlabs
"1990: United States invasion of Panama: Manuel Noriega, former leader of Panama, surrenders to American forces.",1990,1/3,wikipedia/muffinlabs
"1992: CommutAir Flight 4821 crashes on approach to Adirondack Regional Airport, in Saranac Lake, New York, killing two people.",1992,1/3,wikipedia/muffinlabs
1999: The Mars Polar Lander is launched by NASA.,1999,1/3,wikipedia/muffinlabs
"2020: Iranian General Qasem Soleimani is killed by an American airstrike near Baghdad International Airport, igniting global concerns of a potential armed conflict.",2020,1/3,wikipedia/muffinlabs
"2026: The United States conducts airstrikes across northern Venezuela, including the capital Caracas and captures Venezuelan president Nicolás Maduro and first lady Cilia Flores.",2026,1/3,wikipedia/muffinlabs
"1642: English Civil War: King Charles I, accompanied by 400 soldiers, attempts to arrest five members of Parliament for treason, only to discover the men had been tipped off and fled.",1642,1/4,wikipedia/muffinlabs
1649: English Civil War: The Rump Parliament votes to put Charles I on trial.,1649,1/4,wikipedia/muffinlabs
"1853: After having been kidnapped and sold into slavery in the American South, Solomon Northup regains his freedom; his memoir Twelve Years a Slave later becomes a national bestseller.",1853,1/4,wikipedia/muffinlabs
1885: Sino-French War: French troops under General Oscar de Négrier defeat a numerically superior Qing force at Núi Bop in northern Vietnam.,1885,1/4,wikipedia/muffinlabs
1896: Utah is admitted as the 45th U.S. state.,1896,1/4,wikipedia/muffinlabs
"1903: Topsy, an elephant, is electrocuted by the owners of Luna Park, Coney Island. The Edison film company records the film Electrocuting an Elephant of Topsy's death.",1903,1/4,wikipedia/muffinlabs
"1918: The Finnish Declaration of Independence is recognized by Russia, Sweden, Germany and France.",1918,1/4,wikipedia/muffinlabs
"1946: The first day of a three-day ""disastrous"" tornado outbreak across the south-central United States leaves 41 people dead and at least 412 others injured.",1946,1/4,wikipedia/muffinlabs
"1948: Burma gains its independence from the United Kingdom, becoming an independent republic.",1948,1/4,wikipedia/muffinlabs
1951: Korean War: Chinese and North Korean forces capture Seoul for the second time.,1951,1/4,wikipedia/muffinlabs
"1987: The Maryland train collision: An Amtrak train en route to Boston from Washington, D.C., collides with Conrail engines in Chase, Maryland, United States, killing 16 people.",1987,1/4,wikipedia/muffinlabs
"1998: A massive ice storm hits eastern Canada and the northeastern United States, continuing through January 10 and causing widespread destruction.",1998,1/4,wikipedia/muffinlabs
"1999: Former professional wrestler Jesse Ventura is sworn in as governor of Minnesota, United States.",1999,1/4,wikipedia/muffinlabs
"2004: Spirit, a NASA Mars rover, lands successfully on Mars at 04:35 UTC.",2004,1/4,wikipedia/muffinlabs
2004: Mikheil Saakashvili is elected President of Georgia following the November 2003 Rose Revolution.,2004,1/4,wikipedia/muffinlabs
"2007: The 110th United States Congress convenes, electing Nancy Pelosi as the first female Speaker of the House in U.S. history.",2007,1/4,wikipedia/muffinlabs
"1781: American Revolutionary War: Richmond, Virginia, is burned by British naval forces led by former American general Benedict Arnold.",1781,1/5,wikipedia/muffinlabs
1822: The government of Central America votes for total annexation to the First Mexican Empire.,1822,1/5,wikipedia/muffinlabs
"1875: The Palais Garnier, one of the most famous opera houses in the world, is inaugurated in Paris.",1875,1/5,wikipedia/muffinlabs
"1911: Kappa Alpha Psi, the world's third-oldest and largest black fraternity, is founded at Indiana University.",1911,1/5,wikipedia/muffinlabs
"1912: The sixth All-Russian Conference of the Russian Social Democratic Labour Party (Prague Party Conference) opens. In the course of the conference, Vladimir Lenin and his supporters break from the rest of the party to form the Bolshevik movement.",1912,1/5,wikipedia/muffinlabs
1914: The Ford Motor Company announces an eight-hour workday and minimum daily wage of $5 in salary plus bonuses.,1914,1/5,wikipedia/muffinlabs
1925: Nellie Tayloe Ross of Wyoming becomes the first female governor in the United States.,1925,1/5,wikipedia/muffinlabs
"1949: In his State of the Union address, United States President Harry S. Truman unveils his Fair Deal program.",1949,1/5,wikipedia/muffinlabs
"1957: In a speech given to the United States Congress, United States President Dwight D. Eisenhower announces the establishment of what will later be called the Eisenhower Doctrine.",1957,1/5,wikipedia/muffinlabs
1972: US President Richard Nixon announces the Space Shuttle program.,1972,1/5,wikipedia/muffinlabs
1976: The Khmer Rouge announce that the new Constitution of Democratic Kampuchea is ratified.,1976,1/5,wikipedia/muffinlabs
"1991: Georgian forces enter Tskhinvali, the capital of South Ossetia, Georgia, opening the 1991-92 South Ossetia War.",1991,1/5,wikipedia/muffinlabs
1991: Somali Civil War: The United States Embassy to Somalia in Mogadishu is evacuated by helicopter airlift days after the outbreak of violence in Mogadishu.,1991,1/5,wikipedia/muffinlabs
2014: A launch of the communication satellite GSAT-14 aboard the GSLV MK.II D5 marks the first successful flight of an Indian cryogenic engine.,2014,1/5,wikipedia/muffinlabs
2022: Kazakh President Kassym-Jomart Tokayev dismisses Prime Minister Asqar Mamin and declares state of emergency over the 2022 Kazakh unrest.,2022,1/5,wikipedia/muffinlabs
"1536: The first European school of higher learning in the Americas, Colegio de Santa Cruz de Tlatelolco, is founded by Viceroy Antonio de Mendoza and Bishop Juan de Zumárraga in Mexico City.",1536,1/6,wikipedia/muffinlabs
"1809: Combined British, Portuguese and colonial Brazilian forces begin the Invasion of Cayenne during the Napoleonic Wars.",1809,1/6,wikipedia/muffinlabs
1912: New Mexico is admitted to the Union as the 47th U.S. state.,1912,1/6,wikipedia/muffinlabs
"1929: King Alexander of the Serbs, Croats and Slovenes suspends his country's constitution, starting the January 6th Dictatorship.",1929,1/6,wikipedia/muffinlabs
1941: United States President Franklin D. Roosevelt delivers his Four Freedoms speech in the State of the Union address.,1941,1/6,wikipedia/muffinlabs
1946: The first general election ever in Vietnam is held.,1946,1/6,wikipedia/muffinlabs
1947: Pan American Airlines becomes the first commercial airline to offer a round-the-world ticket.,1947,1/6,wikipedia/muffinlabs
"1951: Korean War: Beginning of the Ganghwa massacre, in the course of which an estimated 200-1,300 South Korean communist sympathizers are slaughtered.",1951,1/6,wikipedia/muffinlabs
"1960: National Airlines Flight 2511 is destroyed in mid-air by a bomb, while en route from New York City to Miami.",1960,1/6,wikipedia/muffinlabs
"1967: Vietnam War: United States Marine Corps and ARVN troops launch ""Operation Deckhouse Five"" in the Mekong River delta.",1967,1/6,wikipedia/muffinlabs
"1969: Allegheny Airlines Flight 737 crashes in Lafayette Township, McKean County, Pennsylvania, United States, killing 11.",1969,1/6,wikipedia/muffinlabs
"1974: In response to the 1973 oil crisis, daylight saving time commences nearly four months early in the United States.",1974,1/6,wikipedia/muffinlabs
1992: President of Georgia Zviad Gamsakhurdia flees the country as a result of the military coup.,1992,1/6,wikipedia/muffinlabs
"1993: Indian Border Security Force units kill 55 Kashmiri civilians in Sopore, Jammu and Kashmir, in revenge after militants ambushed a BSF patrol.",1993,1/6,wikipedia/muffinlabs
1994: U.S. figure skater Nancy Kerrigan is attacked and injured by an assailant hired by her rival Tonya Harding's ex-husband during the U.S. Figure Skating Championships.,1994,1/6,wikipedia/muffinlabs
"2005: Edgar Ray Killen is indicted for the 1964 murders of Chaney, Goodman, and Schwerner during the American Civil Rights Movement.",2005,1/6,wikipedia/muffinlabs
"2005: A train collision in Graniteville, South Carolina, United States, releases about 60 tons of chlorine gas.",2005,1/6,wikipedia/muffinlabs
"2017: Five people are killed and six others injured in a mass shooting at Fort Lauderdale-Hollywood International Airport in Broward County, Florida.",2017,1/6,wikipedia/muffinlabs
"2021: Supporters of U.S. president Donald Trump storm the United States Capitol Building to disrupt certification of the 2020 presidential election, resulting in four deaths and evacuation of the U.S. Congress.",2021,1/6,wikipedia/muffinlabs
"49 BC: The Senate of Rome says that Caesar will be declared a public enemy unless he disbands his army, prompting the tribunes who support him to flee to where Caesar is waiting in Ravenna.",49 BC,1/7,wikipedia/muffinlabs
"1608: Fire destroys Jamestown, Virginia.",1608,1/7,wikipedia/muffinlabs
"1782: The first American commercial bank, the Bank of North America, opens.",1782,1/7,wikipedia/muffinlabs
"1785: Frenchman Jean-Pierre Blanchard and American John Jeffries travel from Dover, England, to Calais, France, in a gas balloon.",1785,1/7,wikipedia/muffinlabs
1867: The Kingstree jail fire kills 22 freedmen in Reconstruction-era South Carolina.,1867,1/7,wikipedia/muffinlabs
"1894: Thomas Edison makes a kinetoscopic film of someone sneezing. On the same day, his employee, William Kennedy Dickson, receives a patent for motion picture film.",1894,1/7,wikipedia/muffinlabs
1920: The New York State Assembly refuses to seat five duly elected Socialist assemblymen.,1920,1/7,wikipedia/muffinlabs
1927: The first transatlantic commercial telephone service is established from New York City to London.,1927,1/7,wikipedia/muffinlabs
1954: Georgetown-IBM experiment: The first public demonstration of a machine translation system is held in New York at the head office of IBM.,1954,1/7,wikipedia/muffinlabs
1959: The United States recognizes the new Cuban government of Fidel Castro.,1959,1/7,wikipedia/muffinlabs
"1979: Third Indochina War: Cambodian-Vietnamese War: Phnom Penh falls to the advancing Vietnamese troops, driving out Pol Pot and the Khmer Rouge.",1979,1/7,wikipedia/muffinlabs
1980: U.S. President Jimmy Carter authorizes legislation giving $1.5 billion in loans to bail out the Chrysler Corporation.,1980,1/7,wikipedia/muffinlabs
"1985: Japan Aerospace Exploration Agency launches Sakigake, Japan's first interplanetary spacecraft and the first deep space probe to be launched by any country other than the United States or the Soviet Union.",1985,1/7,wikipedia/muffinlabs
1993: The Fourth Republic of Ghana is inaugurated with Jerry Rawlings as president.,1993,1/7,wikipedia/muffinlabs
"1994: A British Aerospace Jetstream 41 operating as United Express Flight 6291 crashes in Gahanna, Ohio, killing five of the eight people on board.",1994,1/7,wikipedia/muffinlabs
1999: The Senate trial in the impeachment of U.S. President Bill Clinton begins.,1999,1/7,wikipedia/muffinlabs
2023: The longest U.S. House of Representatives speaker election since the December 1859 - February 1860 U.S. speaker election concludes and Kevin McCarthy is elected 55th Speaker of the United States House of Representatives.,2023,1/7,wikipedia/muffinlabs
1790: George Washington delivers the first State of the Union address in New York City.,1790,1/8,wikipedia/muffinlabs
"1811: Charles Deslondes leads an unsuccessful slave revolt in the North American settlements of St. Charles and St. James, Louisiana.",1811,1/8,wikipedia/muffinlabs
1815: War of 1812: Battle of New Orleans: Andrew Jackson leads American forces in victory over the British.,1815,1/8,wikipedia/muffinlabs
1828: The Democratic Party of the United States is organized.,1828,1/8,wikipedia/muffinlabs
1835: US President Andrew Jackson announces a celebratory dinner after having reduced the United States national debt to zero for the only time.,1835,1/8,wikipedia/muffinlabs
1863: American Civil War: Second Battle of Springfield.,1863,1/8,wikipedia/muffinlabs
"1867: The United States Congress passes the bill to allow African American men the right to vote in Washington, D.C.",1867,1/8,wikipedia/muffinlabs
"1877: Crazy Horse and his warriors fight their last battle against the United States Cavalry at Wolf Mountain, Montana Territory.",1877,1/8,wikipedia/muffinlabs
1900: President William McKinley  places Alaska under military rule.,1900,1/8,wikipedia/muffinlabs
"1912: The African National Congress is founded, under the name South African Native National Congress (SANNC).",1912,1/8,wikipedia/muffinlabs
"1918: U.S. President Woodrow Wilson announces his ""Fourteen Points"" as conditions for ending World War I.",1918,1/8,wikipedia/muffinlabs
"1926: Crown Prince Nguyễn Phúc Vĩnh Thuỵ is crowned emperor of Vietnam, the country's last monarch.",1926,1/8,wikipedia/muffinlabs
1956: Operation Auca: Five U.S. missionaries are killed by the Waorani of Ecuador shortly after making first contact.,1956,1/8,wikipedia/muffinlabs
1959: Charles de Gaulle is proclaimed as the first President of the French Fifth Republic.,1959,1/8,wikipedia/muffinlabs
"1964: President Lyndon B. Johnson declares a ""war on poverty"" in the United States.",1964,1/8,wikipedia/muffinlabs
"1972: Bowing to international pressure, President of Pakistan Zulfikar Ali Bhutto releases Bengali leader Sheikh Mujibur Rahman from prison, who had been arrested after declaring the independence of Bangladesh.",1972,1/8,wikipedia/muffinlabs
1973: Watergate scandal: The trial of seven men accused of illegal entry into Democratic Party headquarters at Watergate begins.,1973,1/8,wikipedia/muffinlabs
"1975: Ella T. Grasso becomes Governor of Connecticut, the first woman to serve as a Governor in the United States other than by succeeding her husband.",1975,1/8,wikipedia/muffinlabs
"1982: Breakup of the Bell System: In the United States, AT&T agrees to divest itself of twenty-two subdivisions.",1982,1/8,wikipedia/muffinlabs
2002: President of the United States George W. Bush signs into law the No Child Left Behind Act.,2002,1/8,wikipedia/muffinlabs
"2011: Sitting US Congresswoman Gabby Giffords is shot in the head along with 18 others in a mass shooting in Tucson, Arizona. Giffords survived the assassination attempt, but six others died, including John Roll, a federal judge.",2011,1/8,wikipedia/muffinlabs
2023: Supporters of former Brazil president Jair Bolsonaro storm the Brazilian Congress.,2023,1/8,wikipedia/muffinlabs
"475: Verina, the Eastern Roman dowager Empress, instigates a riot in Constantinople and persuades emperor Zeno, her son-in-law, to flee. The Byzantine senate, however, acclaims Basiliscus as emperor and not her lover Patricius.",475,1/9,wikipedia/muffinlabs
1788: Connecticut becomes the fifth state to ratify the United States Constitution.,1788,1/9,wikipedia/muffinlabs
1793: Jean-Pierre Blanchard becomes the first person to fly in a balloon in the United States.,1793,1/9,wikipedia/muffinlabs
"1822: The Portuguese prince Pedro I of Brazil decides to stay in Brazil against the orders of the Portuguese King João VI, beginning the Brazilian independence process.",1822,1/9,wikipedia/muffinlabs
1857: The 7.9 Mw  Fort Tejon earthquake shakes Central and Southern California with a maximum Mercalli intensity of IX (Violent).,1857,1/9,wikipedia/muffinlabs
"1861: American Civil War: ""Star of the West"" incident occurs near Charleston, South Carolina.",1861,1/9,wikipedia/muffinlabs
1861: Mississippi becomes the second state to secede from the Union before the outbreak of the American Civil War.,1861,1/9,wikipedia/muffinlabs
"1914: The Phi Beta Sigma fraternity is founded by African-American students at Howard University in Washington D.C., United States.",1914,1/9,wikipedia/muffinlabs
1918: Battle of Bear Valley: The last battle of the American Indian Wars.,1918,1/9,wikipedia/muffinlabs
"1920: Ukrainian War of Independence: The All-Ukrainian Central Executive Committee outlaws the Makhnovshchina by decree, igniting the Bolshevik-Makhnovist conflict.",1920,1/9,wikipedia/muffinlabs
1945: World War II: The Sixth United States Army begins the invasion of Lingayen Gulf.,1945,1/9,wikipedia/muffinlabs
1960: President of Egypt Gamal Abdel Nasser opens construction on the Aswan Dam by detonating ten tons of dynamite to demolish twenty tons of granite on the east bank of the Nile.,1960,1/9,wikipedia/muffinlabs
"1962: Apollo program: NASA announces plans to build the C-5 rocket launch vehicle, then known as the ""Advanced Saturn"", to carry human beings to the Moon.",1962,1/9,wikipedia/muffinlabs
"1964: Martyrs' Day: Several Panamanian youths try to raise the Panamanian flag in the U.S.-controlled Panama Canal Zone, leading to fighting between U.S. military and Panamanian civilians.",1964,1/9,wikipedia/muffinlabs
1991: Representatives from the United States and Iraq meet at the Geneva Peace Conference to try to find a peaceful resolution to the Iraqi invasion of Kuwait.,1991,1/9,wikipedia/muffinlabs
"1997: Comair Flight 3272 crashes in Raisinville Township in Monroe County, Michigan, killing 29 people.",1997,1/9,wikipedia/muffinlabs
"2005: Mahmoud Abbas wins the election to succeed Yasser Arafat as President of the Palestinian National Authority, replacing interim president Rawhi Fattouh.",2005,1/9,wikipedia/muffinlabs
2005: The Sudan People's Liberation Movement and the Government of Sudan sign the Comprehensive Peace Agreement to end the Second Sudanese Civil War.,2005,1/9,wikipedia/muffinlabs
"2017: Mont-LIbre Agile Learning Centre, the province of Quebec's first alternative schooling democratic learning centre to support homeschooled youth, opens in the city of Montreal.",2017,1/9,wikipedia/muffinlabs
"49 BC: Julius Caesar crosses the Rubicon, signalling the start of civil war.",49 BC,1/10,wikipedia/muffinlabs
1776: American Revolution: Thomas Paine publishes his pamphlet Common Sense.,1776,1/10,wikipedia/muffinlabs
1791: The Siege of Dunlap's Station begins near Cincinnati during the Northwest Indian War.,1791,1/10,wikipedia/muffinlabs
"1812: The first steamboat on the Ohio River or the Mississippi River arrives in New Orleans, 82 days after departing from Pittsburgh.",1812,1/10,wikipedia/muffinlabs
1861: American Civil War: Florida becomes the third state to secede from the Union.,1861,1/10,wikipedia/muffinlabs
1870: John D. Rockefeller incorporates Standard Oil.,1870,1/10,wikipedia/muffinlabs
"1901: The first great Texas oil gusher is discovered at Spindletop in Beaumont, Texas.",1901,1/10,wikipedia/muffinlabs
1901: New York: Automobile Club of America installs signs on major highways.,1901,1/10,wikipedia/muffinlabs
"1920: The Treaty of Versailles takes effect, officially ending World War I for all combatant nations except the United States.",1920,1/10,wikipedia/muffinlabs
"1946: The United States Army Signal Corps successfully conducts Project Diana, bouncing radio waves off the Moon and receiving the reflected signals.",1946,1/10,wikipedia/muffinlabs
"1966: Tashkent Declaration, a peace agreement between India and Pakistan signed that resolved the Indo-Pakistani War of 1965.",1966,1/10,wikipedia/muffinlabs
1972: Sheikh Mujibur Rahman returns to the newly independent Bangladesh as president after spending over nine months in prison in Pakistan.,1972,1/10,wikipedia/muffinlabs
"1981: Salvadoran Civil War: The FMLN launches its first major offensive, gaining control of most of Morazán and Chalatenango departments.",1981,1/10,wikipedia/muffinlabs
"1984: Holy See-United States relations: The United States and Holy See (Vatican City) re-establish full diplomatic relations after almost 117 years, overturning the United States Congress's 1867 ban on public funding for such a diplomatic envoy.",1984,1/10,wikipedia/muffinlabs
1985: Sandinista Daniel Ortega becomes president of Nicaragua and vows to continue the transformation to socialism and alliance with the Soviet Union and Cuba.,1985,1/10,wikipedia/muffinlabs
2007: A general strike begins in Guinea in an attempt to get President Lansana Conté to resign.,2007,1/10,wikipedia/muffinlabs
"2019: A 13-year-old American girl, Jayme Closs, is found alive in Gordon, Wisconsin, having been kidnapped 88 days earlier from her parents' home whilst they were murdered.",2019,1/10,wikipedia/muffinlabs
"1759: The first American life insurance company, the Corporation for Relief of Poor and Distressed Presbyterian Ministers and of the Poor and Distressed Widows and Children of the Presbyterian Ministers (now part of Unum Group), is incorporated in Philadelphia, Pennsylvania.",1759,1/11,wikipedia/muffinlabs
1805: The Michigan Territory is created.,1805,1/11,wikipedia/muffinlabs
"1820: The Great Savannah Fire of 1820 destroys over 400 buildings in Savannah, Georgia.",1820,1/11,wikipedia/muffinlabs
1861: American Civil War: Alabama secedes from the United States.,1861,1/11,wikipedia/muffinlabs
1863: American Civil War: The three-day Battle of Arkansas Post concludes as General John McClernand and Admiral David Dixon Porter capture Fort Hindman and secure control over the Arkansas River for the Union.,1863,1/11,wikipedia/muffinlabs
1863: American Civil War: CSS Alabama encounters and sinks the USS Hatteras off Galveston Lighthouse in Texas.,1863,1/11,wikipedia/muffinlabs
"1912: Immigrant textile workers in Lawrence, Massachusetts, go on strike when wages are reduced in response to a mandated shortening of the work week.",1912,1/11,wikipedia/muffinlabs
"1927: Louis B. Mayer, head of film studio Metro-Goldwyn-Mayer (MGM), announces the creation of the Academy of Motion Picture Arts and Sciences, at a banquet in Los Angeles, California.",1927,1/11,wikipedia/muffinlabs
1935: Amelia Earhart becomes the first person to fly solo from Hawaii to California.,1935,1/11,wikipedia/muffinlabs
1943: The Republic of China agrees to the Sino-British New Equal Treaty and the Sino-American New Equal Treaty.,1943,1/11,wikipedia/muffinlabs
1943: Italian-American anarchist Carlo Tresca is assassinated in New York City.,1943,1/11,wikipedia/muffinlabs
"1961: Throgs Neck Bridge over the East River, linking New York City's boroughs of The Bronx and Queens, opens to road traffic.",1961,1/11,wikipedia/muffinlabs
"1962: Cold War: While tied to its pier in Polyarny, the Soviet submarine B-37 is destroyed when fire breaks out in its torpedo compartment.",1962,1/11,wikipedia/muffinlabs
